 gsr_25_peak_quantile gsr_50_peak_quantile gsr_75_peak_quantile gsr_peak_amount labels max_gsr mean_gsr mean_gsr_peak_height min_gsr slope_gsr
0 3.25 3.5 3.75 3.0 0.0 0.004 9.345794392523364e-05 0.004 0.0 -5.389155847756433e-05
1 2.0 2.0 7.0 10.0 0.0 0.002 8.09968847352025e-05 0.0020000000000000005 0.0 2.944207766550018e-05
2 2.5 4.0 9.0 32.0 0.0 0.002 0.00031775700934579443 0.002 0.0 6.726716798251389e-05
3 3.0 4.0 7.0 36.0 0.0 0.002 0.0009532710280373833 0.002 0.0 0.00018875183733727807
4 3.0 5.0 10.75 23.0 0.0 0.002 0.0014080996884735203 0.0020000000000000005 0.0 6.061921203700065e-06
5 5.0 8.5 11.75 13.0 0.0 0.002 0.0015638629283489097 0.002000000000000001 0.0 5.50992929385463e-05
6 3.0 6.5 8.25 21.0 0.0 0.006 0.0019688473520249224 0.003714285714285715 0.0 9.104163910049553e-05
7 2.5 6.0 8.0 36.0 0.0 0.006 0.0025607476635514026 0.004055555555555556 0.0 0.0001708238323504877
8 2.0 6.0 12.0 22.0 0.0 0.006 0.0034267912772585674 0.004181818181818183 0.002 0.0002008232516724366
9 20.0 44.0 58.0 8.0 0.0 0.006 0.0039875389408099695 0.00575 0.002 2.3915040848629062e-05
10 14.25 28.0 44.0 11.0 0.0 0.006 0.0038255451713395646 0.005272727272727273 0.0 -6.0069085316586116e-05
11 3.0 8.0 15.0 26.0 0.0 0.008 0.004286604361370717 0.006076923076923078 0.0 0.00026825427300496537
12 3.0 4.5 9.75 43.0 0.0 0.008 0.005358255451713395 0.006930232558139536 0.004 0.0001961124192506928
13 3.0 5.0 11.25 37.0 0.0 0.008 0.005538940809968847 0.00718918918918919 0.002 1.760165933340384e-05
14 2.75 5.0 13.5 25.0 0.0 0.008 0.006267912772585671 0.0074399999999999996 0.002 0.0003322237777405188
15 2.0 5.0 10.0 18.0 0.0 0.008 0.0068847352024922134 0.007666666666666667 0.004 -5.203513946446911e-05
16 3.0 5.0 17.0 6.0 0.0 0.008 0.00728348909657321 0.007 0.004 0.0002584774722051096
17 13.5 19.0 42.5 4.0 0.0 0.01 0.00805607476635514 0.01 0.008 2.161770522003925e-05
18 4.0 7.0 11.0 18.0 0.0 0.01 0.008604361370716513 0.010000000000000002 0.008 0.0001864076567053317
19 3.0 6.0 11.0 18.0 0.0 0.012 0.00956386292834891 0.010444444444444444 0.008 0.00017821107966753253
20 3.0 5.0 12.5 24.0 0.0 0.013999999999999999 0.01034890965732087 0.012083333333333335 0.008 0.00013834216949165068
21 3.0 5.0 11.5 23.0 0.0 0.013999999999999999 0.01127725856697819 0.012173913043478264 0.01 0.00021707832895486196
22 2.0 5.0 10.0 18.0 0.0 0.013999999999999999 0.011613707165109033 0.012111111111111112 0.01 -4.8531249874537186e-05
23 3.0 6.0 14.0 22.0 0.0 0.013999999999999999 0.01174454828660436 0.01263636363636364 0.01 0.0001652965247131108
24 3.0 5.0 11.5 31.0 0.0 0.013999999999999999 0.012473520249221182 0.014000000000000002 0.01 0.00012431727129653684
25 3.0 5.0 10.5 40.0 0.0 0.016 0.012996884735202495 0.014099999999999998 0.012 0.00011191878911997678
26 4.75 10.0 16.25 25.0 0.0 0.016 0.013582554517133957 0.014879999999999999 0.012 0.0001565238916275131
27 3.75 6.0 11.25 29.0 0.0 0.016 0.014323987538940812 0.016000000000000004 0.012 0.00014537894729796247
28 3.0 6.0 10.0 25.0 0.0 0.016 0.015133956386292837 0.016 0.012 0.0001954374165007259
29 3.0 23.0 31.0 6.0 0.0 0.016 0.014305295950155766 0.016 0.004 -0.0006589213658462604
30 74.0 83.0 84.0 4.0 0.0 0.018000000000000002 0.013663551401869162 0.015000000000000001 0.004 9.245982887080567e-05
31 3.0 5.0 43.0 10.0 0.0 0.018000000000000002 0.009993769470404985 0.015400000000000002 0.0 -0.0016038342478865886
32 3.0 5.0 15.0 16.0 0.0 0.018000000000000002 0.003084112149532711 0.008250000000000002 0.0 -0.0013431482136258078
33 3.0 4.0 11.25 27.0 0.0 0.008 0.0026728971962616827 0.005851851851851853 0.0 0.0008365943946102829
34 3.0 4.0 11.5 24.0 0.0 0.01 0.005813084112149534 0.00775 0.0 0.0002835319521384958
35 13.25 21.5 42.25 9.0 0.0 0.01 0.0053894080996884745 0.007555555555555556 0.002 -0.0004509670213904016
36 12.75 21.5 31.75 9.0 0.0 0.006 0.00409968847352025 0.006 0.004 1.2304278305298204e-06
37 5.75 11.5 22.25 21.0 0.0 0.006 0.00415576323987539 0.006000000000000001 0.004 2.609810411207866e-05
38 3.75 6.0 11.25 37.0 0.0 0.008 0.004598130841121496 0.006432432432432434 0.004 0.00013636644362965692
39 3.0 6.0 12.5 31.0 0.0 0.008 0.005489096573208722 0.007032258064516131 0.004 0.00019102410470880928
40 3.0 6.0 16.75 23.0 0.0 0.008 0.005725856697819315 0.007130434782608697 0.004 -4.182049134818227e-05
41 4.0 7.0 16.0 30.0 0.0 0.008 0.005850467289719627 0.007333333333333334 0.004 0.00019223053367607178
42 4.0 7.0 13.5 16.0 0.0 0.01 0.007133956386292835 0.007875 0.004 0.0002848301962012788
43 0.0 0.0 0.0 0.0 0.0 0.01 0.007956386292834891  0.006 -1.5778905392391554e-06
44 0.0 0.0 0.0 0.0 0.0 0.008 0.007956386292834891  0.006 2.1525584583435588e-05
45 0.0 0.0 0.0 0.0 0.0 0.008 0.008000000000000002  0.008 -7.473281366583906e-33
46 4.25 8.0 15.5 11.0 0.0 0.01 0.008137071651090344 0.009999999999999998 0.008 5.031750554433046e-05
47 3.0 5.0 11.5 36.0 0.0 0.01 0.008517133956386294 0.010000000000000002 0.008 0.00010820533306750443
48 2.0 4.0 10.25 41.0 0.0 0.012 0.009358255451713395 0.01053658536585366 0.008 0.00028149214597840324
49 2.5 8.0 20.5 24.0 0.0 0.012 0.010722741433021807 0.011500000000000002 0.008 0.0003357525967051983
50 5.0 19.0 28.5 8.0 0.0 0.013999999999999999 0.011738317757009346 0.01225 0.008 9.663745043756273e-05
51 0.0 0.0 0.0 1.0 0.0 0.013999999999999999 0.011962616822429906 0.013999999999999999 0.01 -1.278175568905067e-06
52 0.0 0.0 0.0 1.0 0.0 0.013999999999999999 0.011975077881619937 0.013999999999999999 0.01 9.751031187128918e-06
53 5.0 36.0 67.75 5.0 0.0 0.013999999999999999 0.012074766355140187 0.013999999999999999 0.01 4.33035877663392e-05
54 3.0 6.5 12.75 23.0 0.0 0.016 0.01260436137071651 0.014434782608695655 0.012 0.00021217931794640605
55 3.0 6.5 12.25 21.0 0.0 0.016 0.014417445482866043 0.01466666666666667 0.012 0.00046671118537280356
56 2.0 2.0 2.0 2.0 0.0 0.016 0.015887850467289723 0.016 0.013999999999999999 3.854512565618429e-05
57 24.0 24.0 24.0 2.0 0.0 0.018000000000000002 0.01644236760124611 0.018000000000000002 0.016 0.00019388339288655893
58 21.0 24.0 25.0 6.0 0.0 0.02 0.017383177570093465 0.019333333333333338 0.016 0.00022293136421934346
59 3.25 7.5 17.75 19.0 0.0 0.02 0.01778193146417446 0.018631578947368426 0.016 -7.750377339210255e-05
60 3.0 6.0 12.0 20.0 0.0 0.02 0.017663551401869163 0.018200000000000004 0.016 -3.896041154126244e-05
61 5.0 11.0 32.0 12.0 0.0 0.02 0.01788161993769471 0.01933333333333333 0.016 9.004507519274124e-05
62 4.25 11.0 27.25 15.0 0.0 0.02 0.018672897196261685 0.02 0.016 0.00017904440825155363
63 4.25 13.5 29.75 15.0 0.0 0.059000000000000004 0.018361370716510905 0.018266666666666667 0.0 -0.0011225204764037232
64 3.0 13.0 28.75 9.0 0.0 0.059000000000000004 0.008809968847352025 0.01577777777777778 0.0 -0.0034856485025524016
65 76.5 146.0 215.5 3.0 0.0 0.445 0.025470404984423677 0.09633333333333334 0.0 0.014055859377908498
66 8.0 13.0 30.75 7.0 0.0 0.608 0.23386153846153843 0.421 0.0 0.09869384296887738
67 8.0 13.0 22.5 5.0 0.0 0.608 0.5309099999999999 0.5332 0.445 0.048549335520868306
